author_id,conversation_id,in_reply_to_user_id,like_count,quote_count,reply_count,retweet_count,text
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
52565610,1411047336466432003,"",3,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
23954891,1410970366684577792,166998234,1,0,0,0,@faermanj @AluraOnline Opa!
21443382,1411012178933583881,1566580880,1,0,1,0,"@AluraOnline Boa tarde, as aulas que já foram feitas, não estão sendo destacadas das aulas que não foram feitas, depois da última atualização do aplicativo da Alura no IOS. Não consigo saber quais aulas falta eu fazer dos meus cursos."
1270798406835998727,1410970366684577792,23954891,0,0,0,0,"@guilhermecaelum @faermanj @AluraOnline Tô precisando de umas aulas disso aí Gui @guilhermecaelum, minhas aptidões atuais nessa parte são miseráveis, como você pode ver: https://t.co/bCHgatmPqu"
45935368,1410983184578318337,377076939,1,0,0,0,@brunorafaell8 @AluraOnline super índico para quem está começando
2207670209,1410617984876351494,1566580880,0,0,0,0,@AluraOnline E não sei programar ainda estou aprendendo na Alura 😊😊😊
2207670209,1410617984876351494,2207670209,0,0,0,0,@AluraOnline E não sei programar ainda 🤣🤣🤣
2207670209,1410617984876351494,1566580880,0,0,1,0,@AluraOnline 40 😳😳😳
245164779,1411047336466432003,52565610,1,0,1,0,@madeinpatricia @AluraOnline Tá muito legal! Parabéns!
52565610,1411048216146108418,"",0,0,0,0,"Ela ficou olhando para o \"site\" e chorando por uns 10min. Agora eu tô sem saber se piorei o dia dela com meu projeto se Parallax website ou se ela está só sendo canceriana. 

Se foi a primeira opção já coloquei a culpa na @AluraOnline. https://t.co/cajbPpbhhV"
